"","gene","cluster_id","logFC","AveExpr","t","p_val","p_adj.loc","p_adj.glb","B","contrast"
"CBX MLI Megf11 Gaba.1","Got1","CBX MLI Megf11 Gaba",-0.136565665868078,7.49256858933352,-0.499801339441604,0.634589442559982,0.979555275152007,0.988691017535907,-4.64298308948217,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.2","Map6","CBX MLI Megf11 Gaba",-0.321506891784581,6.27839902891098,-1.27726809563348,0.247601220905822,0.9506518674562,0.963861163997172,-4.5676015200952,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.3","Zfyve27","CBX MLI Megf11 Gaba",0.0145233123537265,5.50568250921301,0.0627104029002792,0.951985501954709,0.994991403449774,0.997637689587809,-4.65972823145583,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.4","Glrx3","CBX MLI Megf11 Gaba",0.544696026618822,6.0888486291193,2.1368866932848,0.0753565564190381,0.921882165974806,0.930370242850555,-4.4696220114075,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5","Dpysl4","CBX MLI Megf11 Gaba",-0.134388517408852,5.81292481575125,-0.412449150749041,0.694001528859411,0.985557364530408,0.993965260355923,-4.6482760481795,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.6","Fam204a","CBX MLI Megf11 Gaba",-0.179860518957121,6.01999349717163,-0.72598285297433,0.494536250711364,0.972492379188571,0.988691017535907,-4.62549638445967,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.7","Ttyh1","CBX MLI Megf11 Gaba",0.26434889482925,6.92210112441526,1.10026259693959,0.312404181851515,0.959862629238363,0.972178450698612,-4.587721021409,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.8","AABR07005588.1","CBX MLI Megf11 Gaba",0.0341701453914478,5.76210011813834,0.0924813779913837,0.929254484774859,0.994991403449774,0.997637689587809,-4.65940199225457,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.9","Pnkp","CBX MLI Megf11 Gaba",0.587488603811456,5.37949315910217,1.77893192214479,0.12435057164694,0.923394809524229,0.938376107213384,-4.50903749244997,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.10","Gde1","CBX MLI Megf11 Gaba",-0.29877866298115,6.75233800233074,-1.25519748396784,0.254988620235112,0.9506518674562,0.964720834969761,-4.57015372825981,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.11","LOC100361060","CBX MLI Megf11 Gaba",0.666519922705826,5.49810902863462,2.06282614256019,0.0835761291598978,0.921882165974806,0.930370242850555,-4.4774862453863,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.12","Nup98","CBX MLI Megf11 Gaba",-0.00529627638825847,7.51662920837885,-0.0225354810854385,0.982734161750172,0.999161179827477,0.998538159086709,-4.65997035439006,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.13","Ndufv1","CBX MLI Megf11 Gaba",-0.266133685408581,5.59928138790839,-0.797358934575134,0.454914003958706,0.965140946843657,0.987351173642104,-4.61900685562793,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.14","Pgm2l1","CBX MLI Megf11 Gaba",-0.28222955046016,5.83803696785507,-1.24550638732617,0.258292833425003,0.9506518674562,0.964720834969761,-4.57127127393212,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.15","Hspbp1","CBX MLI Megf11 Gaba",0.108943947206213,6.59295337629498,0.447057869181783,0.670145798665434,0.984037759019419,0.992601846248215,-4.64628561829272,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.16","Tpd52l1","CBX MLI Megf11 Gaba",-0.338858904695108,4.59932704490734,-0.588708369222216,0.577022502651927,0.976428309278228,0.988691017535907,-4.63671950899279,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.17","Ermard","CBX MLI Megf11 Gaba",-1.00023423550309,6.29432676849023,-3.7120733791775,0.00950919378745882,0.921882165974806,0.871185981908449,-4.34573871526349,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.18","Mark4","CBX MLI Megf11 Gaba",0.498125520965299,5.42595740866557,1.66501196585755,0.145749454708263,0.930482154072718,0.942995906180012,-4.52219106975305,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.19","Stx3","CBX MLI Megf11 Gaba",-0.043312929019149,6.05238221421469,-0.146877066173046,0.887925419685797,0.994991403449774,0.997637689587809,-4.65848509614316,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.20","Akt2","CBX MLI Megf11 Gaba",0.313020130782185,5.34601534581419,0.91166743784056,0.396267360339551,0.960921157158005,0.983653503209258,-4.60782730977391,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.21","Shank1","CBX MLI Megf11 Gaba",-0.27394300917816,6.99264154561487,-1.06074605683309,0.3286705714534,0.959862629238363,0.973638589695053,-4.59207278810765,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.22","Zfp141","CBX MLI Megf11 Gaba",-0.92257748108201,4.93546216656784,-3.98474980497069,0.00688689167355204,0.921882165974806,0.840284020358825,-4.33174162483266,"Fentanyl-Saline"
