"","gene","cluster_id","logFC","AveExpr","t","p_val","p_adj.loc","p_adj.glb","B","contrast"
"Oligo NN.1","Got1","Oligo NN",-0.178994803753367,6.06988641149471,-0.396513009313161,0.706653180768738,0.997834965727637,0.993965260355923,-4.6464707513227,"Fentanyl-Saline"
"Oligo NN.2","Map6","Oligo NN",0.0304077753409553,6.67561635644471,0.117377699975318,0.910729604609392,0.99822623672637,0.997637689587809,-4.65605738214755,"Fentanyl-Saline"
"Oligo NN.3","Zfyve27","Oligo NN",-0.341336853567766,4.81600707291765,-1.26038213908288,0.258376215818321,0.997834965727637,0.964720834969761,-4.57109109918622,"Fentanyl-Saline"
"Oligo NN.4","Nkx6-2","Oligo NN",-0.715499219338517,5.56330287454134,-1.92929949333035,0.106351986012638,0.997834965727637,0.934991152296898,-4.50060557006607,"Fentanyl-Saline"
"Oligo NN.5","Glrx3","Oligo NN",-0.605012893423558,5.24895500123099,-0.964002156837525,0.375504265643587,0.997834965727637,0.981260037997247,-4.60185094476711,"Fentanyl-Saline"
"Oligo NN.6","Fam204a","Oligo NN",0.339935305860902,5.89009309613719,1.3350287094668,0.234477445674753,0.997834965727637,0.960855084579487,-4.56306292008444,"Fentanyl-Saline"
"Oligo NN.7","Ttyh1","Oligo NN",-0.0132238788426946,4.79317448825006,-0.0344598410396396,0.973726978183047,0.998571408549911,0.998538159086709,-4.65692127500811,"Fentanyl-Saline"
"Oligo NN.8","Bloc1s2","Oligo NN",-0.134490767745144,4.5529337155473,-0.332681381800885,0.751688847039939,0.997834965727637,0.994209532799548,-4.64953079574611,"Fentanyl-Saline"
"Oligo NN.9","Zfp94","Oligo NN",-1.22494504602532,5.07508219636455,-2.67922826423599,0.0398602574196579,0.997834965727637,0.930370242850555,-4.43543021340426,"Fentanyl-Saline"
"Oligo NN.10","AABR07005588.1","Oligo NN",0.242098558661811,5.12371511335493,0.941735166137843,0.385838923598511,0.997834965727637,0.983653503209258,-4.6040373541801,"Fentanyl-Saline"
"Oligo NN.11","Pnkp","Oligo NN",0.165449233027703,4.7739785262627,0.456509979091007,0.665496240631964,0.997834965727637,0.991835720288719,-4.64316048581088,"Fentanyl-Saline"
"Oligo NN.12","Gde1","Oligo NN",-0.0484605256314694,7.28386922304528,-0.189428482085479,0.856553972648088,0.997834965727637,0.99698489167618,-4.65454951645136,"Fentanyl-Saline"
"Oligo NN.13","LOC100361060","Oligo NN",0.479129283854068,5.28758357938127,1.46305128586925,0.198154028722547,0.997834965727637,0.960855084579487,-4.5492452280046,"Fentanyl-Saline"
"Oligo NN.14","Zfp94.1","Oligo NN",1.36283042160129,4.7974271389648,2.72046741336488,0.0378341149578437,0.997834965727637,0.930370242850555,-4.43239676604922,"Fentanyl-Saline"
"Oligo NN.15","Nup98","Oligo NN",0.383414566570957,7.82612400879562,1.04609987606648,0.339307002529959,0.997834965727637,0.976144047572773,-4.59360259228752,"Fentanyl-Saline"
"Oligo NN.16","Ndufv1","Oligo NN",0.85154448126632,4.59357411880451,1.09780804880902,0.318021839187253,0.997834965727637,0.972333037201191,-4.58827858146276,"Fentanyl-Saline"
"Oligo NN.17","Pgm2l1","Oligo NN",-0.0656741175865614,4.72501102418159,-0.229059947175177,0.827101935492424,0.997834965727637,0.99698489167618,-4.65342563230143,"Fentanyl-Saline"
"Oligo NN.18","Hspbp1","Oligo NN",0.318113015649953,5.99142304724025,1.08837364225497,0.321819621000736,0.997834965727637,0.972724483893512,-4.5892564065536,"Fentanyl-Saline"
"Oligo NN.19","LOC100302465","Oligo NN",-0.114719693731917,9.82716828070066,-0.447898056445515,0.671328941485347,0.997834965727637,0.992775110516099,-4.64366064227878,"Fentanyl-Saline"
"Oligo NN.20","Ermard","Oligo NN",0.314247440406196,6.76663834725895,1.10201443137745,0.316340815952384,0.997834965727637,0.972333037201191,-4.5878417499894,"Fentanyl-Saline"
"Oligo NN.21","Akt2","Oligo NN",0.0800631669670855,5.31234506650329,0.19764659269727,0.850423575310362,0.997834965727637,0.99698489167618,-4.65433346633625,"Fentanyl-Saline"
"Oligo NN.22","Ube3a","Oligo NN",-0.248695682768716,8.26554772751448,-0.891442789023937,0.410002415684446,0.997834965727637,0.983653503209258,-4.60888394973179,"Fentanyl-Saline"
"Oligo NN.23","LOC102548320","Oligo NN",0.562832278507248,5.29577721885799,1.08280243170518,0.324080174957188,0.997834965727637,0.973117804004989,-4.58983254410569,"Fentanyl-Saline"
"Oligo NN.24","Ptov1","Oligo NN",-0.2515505347537,5.09828887561734,-0.797625912435122,0.458137910543736,0.997834965727637,0.98818825151118,-4.61753658467705,"Fentanyl-Saline"
"Oligo NN.25","Hddc2","Oligo NN",0.145840285932686,3.95365010577817,0.139488006711844,0.894031930263251,0.997937136124794,0.997637689587809,-4.65566889478032,"Fentanyl-Saline"
"Oligo NN.26","Acadsb","Oligo NN",-0.849420280437045,6.93522550763068,-1.99834450255837,0.0969840883880864,0.997834965727637,0.933125073106143,-4.49383652384132,"Fentanyl-Saline"
"Oligo NN.27","Lrfn1","Oligo NN",-0.433425470340575,5.3283501149061,-0.931802532806748,0.390520741698299,0.997834965727637,0.983653503209258,-4.60500489045263,"Fentanyl-Saline"
"Oligo NN.28","Scd2","Oligo NN",-0.190693211257168,10.1489111952296,-0.719218888444055,0.501412339284692,0.997834965727637,0.988691017535907,-4.62431398940004,"Fentanyl-Saline"
"Oligo NN.29","Atxn2l","Oligo NN",-0.427709287895239,6.60004383779109,-1.68237582143828,0.147991707455093,0.997834965727637,0.943928290125749,-4.52584969354373,"Fentanyl-Saline"
"Oligo NN.30","Bub3","Oligo NN",0.643535942760112,4.75257989365477,2.35499956845043,0.0605224476527784,0.997834965727637,0.930370242850555,-4.46128464453306,"Fentanyl-Saline"
"Oligo NN.31","Fam120b","Oligo NN",-0.108053016433505,5.67470116017709,-0.407884492139822,0.698760996559035,0.997834965727637,0.993965260355923,-4.64587496610014,"Fentanyl-Saline"
"Oligo NN.32","Pgap2","Oligo NN",0.823654565443102,6.97026381827507,2.56971419569205,0.0458332296736046,0.997834965727637,0.930370242850555,-4.44376234611603,"Fentanyl-Saline"
"Oligo NN.33","Katna1","Oligo NN",0.0585581010715064,4.70780145080615,0.150240600832548,0.885932887833862,0.997937136124794,0.997637689587809,-4.65545611593569,"Fentanyl-Saline"
"Oligo NN.34","LOC108348090","Oligo NN",0.496995435920544,4.72536742120686,1.72643069137539,0.139523659892096,0.997834965727637,0.942937482233865,-4.52124157521102,"Fentanyl-Saline"
"Oligo NN.35","Eml2","Oligo NN",0.206967570456724,8.66084662085286,0.750897023359771,0.483597369100201,0.997834965727637,0.988691017535907,-4.62163013962375,"Fentanyl-Saline"
"Oligo NN.36","Zfp619","Oligo NN",0.643535942760112,4.75257989365477,2.35499956845043,0.0605224476527784,0.997834965727637,0.930370242850555,-4.46128464453306,"Fentanyl-Saline"
"Oligo NN.37","Pdcd5","Oligo NN",0.0703981625008714,4.52971881337353,0.192125655115261,0.854540725434034,0.997834965727637,0.99698489167618,-4.65447959485608,"Fentanyl-Saline"
"Oligo NN.38","Mettl9","Oligo NN",-0.433931755374248,5.41215184718257,-0.99594278078097,0.361066874366097,0.997834965727637,0.978387568269106,-4.5986750470826,"Fentanyl-Saline"
"Oligo NN.39","Rhog","Oligo NN",0.194578872241268,7.12840024621021,0.676349499845244,0.526226634835766,0.997834965727637,0.988691017535907,-4.62782006887682,"Fentanyl-Saline"
"Oligo NN.40","Lzts2","Oligo NN",-0.0912915669596384,6.3343999455137,-0.255524464982782,0.807605174395768,0.997834965727637,0.99698489167618,-4.65256093819571,"Fentanyl-Saline"
"Oligo NN.41","Adamtsl3","Oligo NN",0.182470878601806,4.76682473328487,0.551690051284752,0.602838577877681,0.997834965727637,0.988691017535907,-4.63710237646214,"Fentanyl-Saline"
