Cell Type Name,Exclude up to N Nearest Neighbors,Optimal Number Genes,Optimally-Sized Gene List,,
Ex_Gbx2_Adam18_2,0,4,Sp9=ENSMUSG00000068859|Gm45194=ENSMUSG00000109156|Calca=ENSMUSG00000030669|Fbln1=ENSMUSG00000006369,,
Inh_Pax7_Hpse_2,0,2,Pde11a=ENSMUSG00000075270|Enpp3=ENSMUSG00000019989,,
Ex_C1ql4_Trhr_6,0,0,,,
Ex_Pitx2_Zbtb7c_3,0,4,Kcnq5=ENSMUSG00000028033|Pitx2=ENSMUSG00000028023|Foxd3=ENSMUSG00000067261|Nwd2=ENSMUSG00000090061,,
Inh_Gata3_Gxylt2_5,0,3,Ltk=ENSMUSG00000027297|Bmpr1b=ENSMUSG00000052430|Tecrl=ENSMUSG00000049537,,
Inh_Lhx6_Npy_3,0,4,Syt6=ENSMUSG00000027849|Ano2=ENSMUSG00000038115|Moxd1=ENSMUSG00000020000|Fstl4=ENSMUSG00000036264,,
Inh_Pde11a_Atp2c2_2,0,3,Nrp2=ENSMUSG00000025969|Impg1=ENSMUSG00000032343|Ccbe1=ENSMUSG00000046318,,
Ex_Pax2_Erfl_2,0,3,Rxfp2=ENSMUSG00000053368|Erfl=ENSMUSG00000108367|Nmbr=ENSMUSG00000019865,,
Ex_Dmrta2_Chodl_1,0,5,Dnah14=ENSMUSG00000047369|Dmrta2=ENSMUSG00000047143|Tle2=ENSMUSG00000034771|Nts=ENSMUSG00000019890|Chodl=ENSMUSG00000022860,,
Inh_Lhx1_Dlk1_2,0,6,Cntnap5b=ENSMUSG00000067028|Pax6=ENSMUSG00000027168|Stk32b=ENSMUSG00000029123|Ptprk=ENSMUSG00000019889|Isl1=ENSMUSG00000042258|Galnt14=ENSMUSG00000024064,,
Ex_Plekhg1_Fign_Ppp1r3a_2,0,3,Ppp1r3a=ENSMUSG00000042717|Prkcg=ENSMUSG00000078816|Ttr=ENSMUSG00000061808,,
Inh_Sp8_Ctsc_3,0,3,Sox3=ENSMUSG00000045179|Hopx=ENSMUSG00000059325|Dab2=ENSMUSG00000022150,,
Ex_Sim1_Ghrh_3,0,3,Gulp1=ENSMUSG00000056870|Ghrh=ENSMUSG00000027643|Frem2=ENSMUSG00000037016,,
Ex_Vsx2_Pgm5_2,0,4,Adam34=ENSMUSG00000079058|Vsx2=ENSMUSG00000021239|Hes1=ENSMUSG00000022528|Pgm5=ENSMUSG00000041731,,
Inh_Six6_Vipr2_6,0,2,C1ql3=ENSMUSG00000049630|Npy6r=ENSMUSG00000038071,,
Inh_Pax7_P2ry10b_3,0,2,Gpr174=ENSMUSG00000073008|Calca=ENSMUSG00000030669,,
Ex_Tlx1_Crocc2_2,0,4,Jag1=ENSMUSG00000027276|Rxfp1=ENSMUSG00000034009|Tcaf2=ENSMUSG00000029851|Glra3=ENSMUSG00000038257,,
Ex_Lhx3_Tspo2_1,0,3,Lhx3=ENSMUSG00000026934|Spon1=ENSMUSG00000038156|Cdh23=ENSMUSG00000012819,,
Ex_Slc30a3_Ssmem1_1,0,4,Igfn1=ENSMUSG00000051985|Ptgds=ENSMUSG00000015090|Dach1=ENSMUSG00000055639|Sorcs1=ENSMUSG00000043531,,
Ex_Evx2_Pth2r,0,0,,,
Ex_Fezf2_Hmga2_Gfra2,0,3,Fstl5=ENSMUSG00000034098|Adgrd1=ENSMUSG00000044017|Hmga2=ENSMUSG00000056758,,
Inh_Onecut1_Slc16a12,0,3,Mecom=ENSMUSG00000027684|Otp=ENSMUSG00000021685|Chodl=ENSMUSG00000022860,,
Ex_Phox2b_Adam33_3,0,4,Shox2=ENSMUSG00000027833|Phox2b=ENSMUSG00000012520|Crabp1=ENSMUSG00000032291|Pvalb=ENSMUSG00000005716,,
Ex_Pou4f1_Meis1_2,0,4,Rxfp1=ENSMUSG00000034009|Foxp2=ENSMUSG00000029563|Ttc29=ENSMUSG00000037101|Zic2=ENSMUSG00000061524,,
Inh_Dmbx1_Tacr3_3,0,3,Dmbx1=ENSMUSG00000028707|Foxp2=ENSMUSG00000029563|Vwc2=ENSMUSG00000050830,,
Ex_Pou4f1_6430628N08Rik,0,5,Bnc2=ENSMUSG00000028487|6430628N08Rik=ENSMUSG00000034185|Hgf=ENSMUSG00000028864|Fbxl7=ENSMUSG00000043556|Galr1=ENSMUSG00000024553,,
Inh_Gata3_Gda_1,0,4,Lypd6=ENSMUSG00000050447|Qrfpr=ENSMUSG00000058400|Cntnap3=ENSMUSG00000033063|Hoxc4=ENSMUSG00000075394,,
Ex_Foxb1_Arhgef38_3,0,0,,,
Endo_Flt1_Ssu2_1,0,2,Fabp4=ENSMUSG00000062515|Gabarapl1=ENSMUSG00000030161,,
Ex_Hoxb5_Prdm16_2,0,4,Scube2=ENSMUSG00000007279|Gli3=ENSMUSG00000021318|Tfap2a=ENSMUSG00000021359|Gfra1=ENSMUSG00000025089,,
Inh_Pax8_Agtr1a,0,3,Map3k15=ENSMUSG00000031303|Kcnmb1=ENSMUSG00000020155|C1ql1=ENSMUSG00000045532,,
Ex_Foxb1_Arhgef38_5,0,4,Tspan18=ENSMUSG00000027217|Adgrg2=ENSMUSG00000031298|Cd36=ENSMUSG00000002944|Foxb1=ENSMUSG00000059246,,
Inh_Pax2_Vgll3_9,0,4,Dach2=ENSMUSG00000025592|Tmco4=ENSMUSG00000041143|Ntn1=ENSMUSG00000020902|Hoxb7=ENSMUSG00000038721,,
Inh_Sox8_Calcrl_9,0,5,Pax6=ENSMUSG00000027168|Sertm1=ENSMUSG00000056306|Adora2a=ENSMUSG00000020178|Nefm=ENSMUSG00000022054|Gfra1=ENSMUSG00000025089,,
Inh_Gata3_Nptx2_1,0,4,Clrn1=ENSMUSG00000043850|Tal1=ENSMUSG00000028717|Nptx2=ENSMUSG00000059991|Cpne4=ENSMUSG00000032564,,
Ex_Fezf2_Slc17a8_Rxfp2,0,0,,,
Inh_Pax2_Erfl_9,0,4,Lrp2=ENSMUSG00000027070|Pitx2=ENSMUSG00000028023|Erfl=ENSMUSG00000108367|Vwa5a=ENSMUSG00000023186,,
Inh_Pax2_Tmem215_2,0,2,Fmod=ENSMUSG00000041559|Tnc=ENSMUSG00000028364,,
Ex_Nkx2-4_Celsr1,0,3,Nkx2-4=ENSMUSG00000054160|Chrdl1=ENSMUSG00000031283|Cadps2=ENSMUSG00000017978,,
Ex_Ebf2_Npffr2_3,0,5,Col11a1=ENSMUSG00000027966|Adamtsl1=ENSMUSG00000066113|Cadps2=ENSMUSG00000017978|Rab38=ENSMUSG00000030559|Ebf2=ENSMUSG00000022053,,
Inh_Gbx1_Htr1a_10,0,0,,,
Ex_Vsx2_Tecta_2,0,3,Serf2=ENSMUSG00000074884|Vsx2=ENSMUSG00000021239|Fbln1=ENSMUSG00000006369,,
Inh_Ppp1r1b_Drd1_Adamtsl5,0,4,Rgs10=ENSMUSG00000030844|Ntn4=ENSMUSG00000020019|Impg1=ENSMUSG00000032343|Drd1=ENSMUSG00000021478,,
Ex_Fam163a_Vip,0,4,Ptprk=ENSMUSG00000019889|Cntnap3=ENSMUSG00000033063|Otp=ENSMUSG00000021685|Skor2=ENSMUSG00000091519,,
Inh_Pax6_Nkx2-2_2,0,4,Nkx2-2=ENSMUSG00000027434|Npy=ENSMUSG00000029819|Vkorc1=ENSMUSG00000096145|Isl1=ENSMUSG00000042258,,
Ex_Nkx6-1_Foxd3_2,0,4,Sulf1=ENSMUSG00000016918|Foxd3=ENSMUSG00000067261|Npas1=ENSMUSG00000001988|Calca=ENSMUSG00000030669,,
Ex_Hoxb3_Ldlrap1_10,0,4,Ebf1=ENSMUSG00000057098|Uqcrb=ENSMUSG00000021520|Ly6d=ENSMUSG00000034634|Prdm6=ENSMUSG00000069378,,
Inh_Dlx1_Dock5_2,0,4,Ptgds=ENSMUSG00000015090|Avp=ENSMUSG00000037727|Esr1=ENSMUSG00000019768|Dock5=ENSMUSG00000044447,,
Ex_Phox2b_Slitrk6,0,4,Sema3e=ENSMUSG00000063531|Phox2b=ENSMUSG00000012520|C1ql1=ENSMUSG00000045532|Grp=ENSMUSG00000024517,,
Astro_Fabp7_Siah3,0,2,Otc=ENSMUSG00000031173|Tnc=ENSMUSG00000028364,,
Inh_Sall3_Chrne,0,3,Cpa6=ENSMUSG00000042501|Prss23=ENSMUSG00000039405|Dach1=ENSMUSG00000055639,,
Inh_Dmrt3_Mecom_1,0,3,Mecom=ENSMUSG00000027684|Cadps2=ENSMUSG00000017978|Nkx6-3=ENSMUSG00000063672,,
Ex_Lmx1a_Grpr,0,3,C1ql3=ENSMUSG00000049630|Barhl1=ENSMUSG00000026805|Grpr=ENSMUSG00000031364,,
Inh_Plpp4_Ret,0,0,,,
Ex_Nkx2-4_Calcr_3,0,4,Zeb2=ENSMUSG00000026872|Calcr=ENSMUSG00000023964|Ano1=ENSMUSG00000031075|Galr1=ENSMUSG00000024553,,
Ex_Lmx1a_Cbln2_2,0,4,Lmx1a=ENSMUSG00000026686|Trpc4=ENSMUSG00000027748|Col11a1=ENSMUSG00000027966|Pou4f1=ENSMUSG00000048349,,
